ESTIMATED_VALUE,PRN,STATION
-7.231917337171357,G01,
10.494023747589667,G02,
-5.346309026857388,G03,
-0.43015848096146303,G04,
3.5399246310428993,G05,
-6.09390616560188,G06,
3.9298580195686483,G07,
-5.695127488176299,G08,
-3.1611592672556412,G09,
-4.379439281151347,G10,
0.5981921188897654,G11,
5.330563278230352,G12,
4.355894816012778,G13,
1.624481682064741,G14,
3.0491170576240707,G15,
6.172106947898774,G16,
3.8086930154109346,G17,
1.8704168557061331,G18,
9.962530241497713,G19,
4.7514700845575994,G20,
6.41639777252016,G21,
2.7319533355485173,G22,
1.999951233170974,G23,
-4.994951545669187,G24,
-5.52759064667495,G25,
-6.4139698772207865,G26,
-3.335192943116528,G27,
0.5981921188897654,G28,
3.3711236633465256,G29,
-4.506639827774008,G30,
6.651432910568941,G31,
-3.801429600256099,G32,
20.13581677156441,,beln
